名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03
FEN 0|0-0|0 KIH,00:56.7,00:05.7,0:00,0:00,KIHARA Miyuu,#02,FENG Tianwei,Side,B,BS,KIHARA Miyuu,B,Push,F
FEN 0|0-1|0 KIH,01:14.2,00:06.1,0:00,0:00,FENG Tianwei,#05,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,BMS
FEN 0|1-1|0 KIH,01:33.3,00:06.0,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,BM,FENG Tianwei,,ドライブ,B
FEN 0|1-2|0 KIH,01:50.7,00:06.3,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,B
FEN 0|1-3|0 KIH,02:09.5,00:08.5,0:00,0:00,KIHARA Miyuu,#06,FENG Tianwei,Side,B,BS,KIHARA Miyuu,B,Push,BM
FEN 0|1-4|0 KIH,02:30.4,00:04.4,0:00,0:00,FENG Tianwei,#03,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 0|2-4|0 KIH,02:49.3,00:06.1,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Push,B
FEN 0|2-5|0 KIH,03:06.6,00:07.3,0:00,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,B
FEN 0|2-6|0 KIH,03:25.0,00:07.9,0:00,0:00,FENG Tianwei,#07,FENG Tianwei,(Side),B,FS,KIHARA Miyuu,F,Stop,FMS
FEN 0|3-6|0 KIH,03:43.7,00:09.4,0:00,0:00,FENG Tianwei,#09-,FENG Tianwei,(Side),B,FMS,KIHARA Miyuu,F,ドライブ,B
FEN 0|3-6|0 KIH,04:05.4,00:05.1,0:00,0:00,,SV Let,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,,
FEN 0|4-6|0 KIH,04:13.4,00:04.7,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,ネットオーバー
FEN 0|4-7|0 KIH,04:28.6,00:05.1,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,FENG Tianwei,B,Push,ネット
FEN 0|4-8|0 KIH,04:47.9,00:07.7,0:00,0:00,KIHARA Miyuu,#08,FENG Tianwei,(Side),B,B,KIHARA Miyuu,B,ドライブ,BMS
FEN 0|4-8|0 KIH,05:10.6,00:04.3,0:00,0:00,,SV Let,FENG Tianwei,(Side),B,BMS,KIHARA Miyuu,B,,
FEN 0|4-9|0 KIH,05:18.5,00:05.0,0:00,0:00,KIHARA Miyuu,#02,FENG Tianwei,(Side),B,BM,KIHARA Miyuu,B,ドライブ,F
FEN 0|4-10|0 KIH,05:32.5,00:06.5,0:00,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,ドライブ,BM
FEN 0|0-0|1 KIH,07:11.2,00:06.1,0:01,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,BM
FEN 0|0-1|1 KIH,07:26.8,00:07.1,0:01,0:00,KIHARA Miyuu,#07,KIHARA Miyuu,(Side),B,FM,FENG Tianwei,F,ドライブ,FM
FEN 0|0-2|1 KIH,07:50.8,00:04.6,0:01,0:00,KIHARA Miyuu,#02,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 0|0-3|1 KIH,08:07.2,00:05.5,0:01,0:00,KIHARA Miyuu,#04,FENG Tianwei,Back,B,FS,KIHARA Miyuu,F,Push,BM
FEN 0|0-4|1 KIH,08:24.2,00:06.2,0:01,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Stop,FMS
FEN 0|0-5|1 KIH,08:41.1,00:05.5,0:01,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,Stop,FMS
