名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03
FEN 0|0-6|1 KIH,09:12.7,00:05.5,0:01,0:00,KIHARA Miyuu,#02,FENG Tianwei,(Side),B,FS,KIHARA Miyuu,F,Stop,FMS
FEN 0|0-7|1 KIH,09:28.1,00:04.1,0:01,0:00,FENG Tianwei,#01,FENG Tianwei,Side,F,B,KIHARA Miyuu,B,空振り,
FEN 0|1-7|1 KIH,09:42.6,00:07.6,0:01,0:00,FENG Tianwei,#08,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,BM
FEN 0|2-7|1 KIH,10:02.1,00:05.8,0:01,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,FM
FEN 0|2-8|1 KIH,10:21.8,00:06.3,0:01,0:00,FENG Tianwei,#05,FENG Tianwei,Back,F,FS,KIHARA Miyuu,F,Push,BM
FEN 0|3-8|1 KIH,10:40.8,00:06.4,0:01,0:00,KIHARA Miyuu,#04,FENG Tianwei,Side,F,B,KIHARA Miyuu,B,ドライブ,BM
FEN 0|3-9|1 KIH,10:58.7,00:04.7,0:01,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,Push,オーバーミス
FEN 0|3-10|1 KIH,11:08.9,00:04.6,0:01,0:00,FENG Tianwei,#02,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,B
FEN 0|4-10|1 KIH,11:24.8,00:05.1,0:01,0:00,KIHARA Miyuu,#02,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,FM
FEN 0|0-0|2 KIH,12:56.3,00:07.8,0:02,0:00,KIHARA Miyuu,#08,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 0|0-1|2 KIH,13:17.2,00:05.3,0:02,0:00,KIHARA Miyuu,#02,FENG Tianwei,Back,B,FMS,KIHARA Miyuu,B,Stop,FMS
FEN 0|0-2|2 KIH,13:34.1,00:07.4,0:02,0:00,KIHARA Miyuu,#07,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,B,Chiquita,F
FEN 0|0-3|2 KIH,14:58.3,00:06.1,0:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,F
FEN 0|1-3|2 KIH,15:14.5,00:04.9,0:02,1:00,FENG Tianwei,#01,FENG Tianwei,Side,B,BM,KIHARA Miyuu,F,ドライブ,ネットオーバー
FEN 0|2-3|2 KIH,15:29.9,00:05.3,0:02,1:00,FENG Tianwei,#05,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BS
FEN 0|3-3|2 KIH,15:49.9,00:06.4,0:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,,Stop,BMS
FEN 0|4-3|2 KIH,16:07.3,00:05.1,0:02,1:00,FENG Tianwei,#02,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,Push,BM
FEN 0|5-3|2 KIH,16:27.0,00:05.4,0:02,1:00,FENG Tianwei,#03,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,BMS
FEN 0|6-3|2 KIH,16:43.3,00:05.8,0:02,1:00,FENG Tianwei,#03,FENG Tianwei,Back,B,FS,KIHARA Miyuu,B,Stop,FS
FEN 0|7-3|2 KIH,17:02.8,00:04.5,0:02,1:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,ネット
FEN 0|7-4|2 KIH,17:17.1,00:04.7,0:02,1:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,Push,
FEN 0|7-5|2 KIH,17:42.2,00:07.5,0:02,1:00,FENG Tianwei,#09-,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,FM
FEN 0|8-5|2 KIH,18:06.0,00:05.1,0:02,1:00,FENG Tianwei,#01,FENG Tianwei,Back,B,BS,KIHARA Miyuu,B,Push,ネット
FEN 0|9-5|2 KIH,18:18.7,00:04.8,0:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,BM
FEN 0|10-5|2 KIH,18:31.2,00:06.1,0:02,1:00,FENG Tianwei,#06,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,ドライブ,F
FEN 1|0-0|2 KIH,20:09.9,00:06.9,1:02,1:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Push,B
FEN 1|0-1|2 KIH,20:25.7,00:05.5,1:02,1:00,FENG Tianwei,#02,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,ドライブ,BM
FEN 1|1-1|2 KIH,20:43.1,00:05.8,1:02,1:00,FENG Tianwei,#05,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 1|2-1|2 KIH,21:01.5,00:06.4,1:02,1:00,FENG Tianwei,#05,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,B
FEN 1|3-1|2 KIH,21:20.5,00:08.9,1:02,1:00,KIHARA Miyuu,#09-,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,BM
FEN 1|3-2|2 KIH,21:46.0,00:05.9,1:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,BM
FEN 1|4-2|2 KIH,22:08.5,00:06.3,1:02,1:00,FENG Tianwei,#05,FENG Tianwei,Back,B,FS,KIHARA Miyuu,F,Push,F
FEN 1|5-2|2 KIH,22:29.0,00:08.1,1:02,1:00,KIHARA Miyuu,#08,FENG Tianwei,Back,B,BM,KIHARA Miyuu,B,ドライブ,B
FEN 1|5-3|2 KIH,22:51.8,00:05.5,1:02,1:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,BM
FEN 1|5-4|2 KIH,23:09.4,00:07.9,1:02,1:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,FS
FEN 1|5-5|2 KIH,23:38.0,00:05.0,1:02,1:00,FENG Tianwei,#01,FENG Tianwei,Side,B,BM,KIHARA Miyuu,F,ドライブ,オーバーミス
FEN 1|6-5|2 KIH,23:59.4,00:03.7,1:02,1:00,FENG Tianwei,#01,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,ネット
FEN 1|7-5|2 KIH,24:23.4,00:05.3,1:02,1:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,Push,B
FEN 1|7-6|2 KIH,24:42.8,00:11.5,1:02,1:00,KIHARA Miyuu,#09-,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,BM
FEN 1|7-7|2 KIH,25:19.3,00:08.3,1:02,1:00,FENG Tianwei,#09-,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,B
FEN 1|8-7|2 KIH,25:47.0,00:07.3,1:02,1:00,KIHARA Miyuu,#06,FENG Tianwei,Back,B,B,KIHARA Miyuu,B,Push,B
FEN 1|8-8|2 KIH,26:15.0,00:06.3,1:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,F
FEN 1|9-8|2 KIH,26:38.6,00:05.3,1:02,1:00,FENG Tianwei,#02,KIHARA Miyuu,(Side),B,BM,FENG Tianwei,B,ドライブ,B
FEN 1|10-8|2 KIH,26:58.5,00:05.3,1:02,1:00,FENG Tianwei,#03,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,BM
FEN 2|6-6|2 KIH,28:46.9,00:06.1,2:02,1:00,KIHARA Miyuu,#04,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,FM
FEN 2|6-7|2 KIH,29:14.2,00:06.5,2:02,1:00,KIHARA Miyuu,#04,FENG Tianwei,Back,B,FMS,KIHARA Miyuu,B,Flick,F
FEN 2|6-8|2 KIH,29:36.0,00:05.7,2:02,1:00,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,BMS,FENG Tianwei,,Chiquita,BM
FEN 2|7-8|2 KIH,29:56.4,00:05.1,2:02,1:00,FENG Tianwei,#02,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,BM
FEN 2|8-8|2 KIH,30:23.3,00:05.7,2:02,1:00,KIHARA Miyuu,#04,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,Stop,FMS
FEN 2|8-9|2 KIH,30:53.1,00:07.7,2:02,1:00,FENG Tianwei,#09-,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 2|9-9|2 KIH,32:28.2,00:06.6,2:02,1:01,FENG Tianwei,#04,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,ドライブ,BM
FEN 2|10-9|2 KIH,32:47.7,00:10.1,2:02,1:01,FENG Tianwei,#10-,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,B,Chiquita,B
